Name,Type,Product,Activity,Database
CCGT,Construction,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical","image, remind, message, tiam-ucl"
CCGT,Operation,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant","image, remind, message, tiam-ucl"
CCGT_CC,Operation,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m","image, remind, message, tiam-ucl"
CCGT_CC,Construction,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical","image, remind, message, tiam-ucl"
COAL,Resource,hard coal,market for hard coal,"image, remind, message, tiam-ucl"
COAL,Flow,hard coal,market for hard coal,"image, remind, message, tiam-ucl"
COAL_IGCC,Construction,hard coal IGCC power plant 450MW,hard coal IGCC power plant 450MW,"image, remind, message, tiam-ucl"
COAL_IGCC,Operation,"electricity, high voltage","electricity production, at hard coal-fired IGCC power plant","image, remind, message, tiam-ucl"
COAL_IGCC_CC,Construction,hard coal IGCC power plant 450MW,hard coal IGCC power plant 450MW,"image, remind, message, tiam-ucl"
COAL_IGCC_CC,Operation,"electricity, high voltage","electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m","image, remind, message, tiam-ucl"
HYDRO_DAM,Construction,"hydropower plant, reservoir","hydropower plant construction, reservoir","image, remind, message, tiam-ucl"
HYDRO_DAM,Operation,"electricity, high voltage","electricity production, hydro, reservoir, non-alpine region","image, remind, message, tiam-ucl"
NG_EHP,Resource,"natural gas, high pressure","market for natural gas, high pressure","image, remind, message, tiam-ucl"
NG_EHP,Flow,"natural gas, high pressure","market for natural gas, high pressure","image, remind, message, tiam-ucl"
NUCLEAR,Operation,"electricity, high voltage","electricity production, nuclear, pressure water reactor","image, remind, message, tiam-ucl"
NUCLEAR,Construction,"nuclear power plant, pressure water reactor, 1000MW","nuclear power plant construction, pressure water reactor, 1000MW","image, remind, message, tiam-ucl"
PV_GROUND,Operation,"electricity, low voltage","electricity production, photovoltaic, 570kWp open ground installation, multi-Si","image, remind, message, tiam-ucl"
PV_GROUND,Construction,"photovoltaic plant, 570kWp, multi-Si, on open ground","market for photovoltaic plant, 570kWp, multi-Si, on open ground","image, remind, message, tiam-ucl"
PV_ROOF,Operation,"electricity, low voltage","electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","image, remind, message, tiam-ucl"
PV_ROOF,Construction,"photovoltaic slanted-roof installation, 3kWp, multi-Si, panel, mounted, on roof","market for photovoltaic slanted-roof installation, 3kWp, multi-Si, panel, mounted, on roof","image, remind, message, tiam-ucl"
URANIUM,Resource,"nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","image, remind, message, tiam-ucl"
URANIUM,Flow,"nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","image, remind, message, tiam-ucl"
WIND_OFFSHORE,Operation,"electricity, high voltage","electricity production, wind, 1-3MW turbine, offshore","image, remind, message, tiam-ucl"
WIND_OFFSHORE_FIXED,Construction,"wind power plant, 2MW, offshore, fixed parts","market for wind power plant, 2MW, offshore, fixed parts","image, remind, message, tiam-ucl"
WIND_OFFSHORE_MOVING,Construction,"wind power plant, 2MW, offshore, moving parts","market for wind power plant, 2MW, offshore, moving parts","image, remind, message, tiam-ucl"
WIND_ONSHORE,Operation,"electricity, high voltage","electricity production, wind, 1-3MW turbine, onshore","image, remind, message, tiam-ucl"
WIND_ONSHORE_CONNECTION,Construction,"wind turbine network connection, 2MW, onshore","wind turbine network connection construction, 2MW, onshore","image, remind, message, tiam-ucl"
WIND_ONSHORE_TURBINE,Construction,"wind turbine, 2MW, onshore","wind turbine construction, 2MW, onshore","image, remind, message, tiam-ucl"
